Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
Abatement,reduction or weakening or something,Natalie longed for the abatement of the screaming rock music from her brother’s band so she could focus on her homework.,The abatement of the prisoner’s sentence angered many citizens.,"The college students hoped for the abatement of their homework and tests, but it seemed they were only given more work as the year went on.",The abatement of her headache filled Jennifer with a sense of relief.,"Despite the fact that the joke finished over an hour again, there was no abatement of Jenny’s laughter.",,,,,
Abattoir,a place where animals are taken to slaughter,"Although many farmers own cattle, they don't slaughter the animals on site but send them to an abattoir.","Butchers get veal, lamb, and other meats from an abattoir and sell them for a higher price in their store.","After they fattened the pig for several months, the family took it to the abattoir to be broken down into bacon and pork chops.",The Kosher abattoir forbids pork on the premises and has a rabbi bless all of the meat.,The abattoir had several buildings labeled for each animal they slaughtered on site.,,,,,
Abbess,the female superior of a community of nuns,An Abbess is the female leader of a small community of nuns.,You have to be a nun for a certain amount of time before you can be an Abbess.,An Abbess is voted into office by secret votes of the community she would lead.,"A woman of illegitimate birth, who is not a virgin, or is a widow cannot be an Abbess.",The sisters looked to their Abbess for encouragement.,,,,,
Abbreviate,to shorten a word or phrase,Learning to abbreviate long words will help the court reporter type more quickly.,"Please do not abbreviate your name, but instead place your full signature on the line.",Some packages of food abbreviate teaspoon to tsp while other write out the full word.,"When writing the date, you can abbreviate September to Sept. as a way to save space.","Because we tend to abbreviate while texting, it is harder for some pupils to get back in the habit of writing sentences complete.",,,,,
Abdicate,to stop accepting a particular responsibility or obligation that you have,The young prince became king after his older brother decided to abdicate the throne.,"Because the mother chose to abdicate her role as a parent, her children have become the terrors of the neighborhood.","Of course, it is easier to abdicate your responsibilities than to be a good citizen.","Since the dictator of that country will not simply abdicate his position, we must go to war to remove him from power.","When his company’s stock price dropped under a dollar, the CEO decided to abdicate his title and leave the firm.","Because of a sex scandal, the president had no choice but to abdicate his office.",It is obvious from the bad behavior of these children that their parents have chosen to abdicate their jobs as good role models.,"Angry at her husband, the wife decided to abdicate her household position of cook and cleaner for a whole week.","Although my daughter is getting married to a wonderful man today, it is still very hard for me to abdicate my role as her protector.","On her ninetieth birthday, the queen will abdicate her throne and let her oldest son become king."
Abdominal,"related to the abdomen/stomach, or the part between the thorax and the pelvis",My severe abdominal pains sent me to the hospital where I learned that it was nothing more than trapped gas.,A hole in Misty’s abdominal wall means that she will have to have emergency surgery near her bellybutton.,"Wearing an abdominal girdle, the dancer was able to hide her stomach bulge under her dress.","Doing abdominal crunches, the soldier hoped to be able to tighten his loose stomach muscles.","Holding on to her abdominal area, the little girl complained of tummy pain.",,,,,
Abduct,to grab an individual by trickery or force,The kidnappers planned to abduct the millionaire’s daughter.,"As a prank, members of our fraternity usually abduct our rival school’s animal mascot.",The child predator hangs out in the park looking for kids to abduct.,"Since the police will not help her, Helen is going to abduct her daughter from the harmful cult.",There is a nationwide search for the woman who tried to abduct the little boy from the school playground.,,,,,
Abecedarian,alphabetical,We decided to organize the files in an abecedarian manner so we could find what we were looking for by name more easily.,"When something is abecedarian, it is alphabetical, such as the roll call at the beginning of class at school.","I like to put my books in abecedarian order, because it is easier to find the one I am looking for if it is A to Z.","Many people choose to sort things alphabetically, because this abecedarian method is one of the easiest means of organization.","If you sort things with the abecedarian method, everything from A to Z will be in alphabetical order.",,,,,
Aberrant,straying from the normal or right way,John’s aberrant behavior is going to get him in a lot of trouble one of these days.,"When the astronomer looked into the telescope, he was shocked by the sight of a star moving in an aberrant path.","If my aunt does not take her medication, she will have aberrant mood swings.",Sarah’s aberrant manners led to her being kicked out of the movie theater.,My unusual uncle has an aberrant way of tying his shoelaces.,"Because my daughter has aberrant eating habits, she often eats dinner very late at night.","When the plane blew up during takeoff, it was an aberrant outcome that no one expected.",The drunken man’s aberrant conduct drew the police officer’s attention.,"Once my nephew started using drugs, he began to behave in an aberrant fashion.",An aberrant growth of body cells is often a symptom of cancer.
Aberration,"deviating from what is normal or desirable, not typical",Shelley’s angry retort was an aberration from her normally quiet demeanor.,"Since I did not properly adjust my camera settings, all of my pictures have a blurry aberration on them.","If your goal is to reduce the likelihood of an aberration occurring in your experiment, then you need to carefully read all the instructions before beginning the procedure.",A person with one blue eye and one green eye is said to have a genetic aberration.,"Even though Janice has a medical aberration which causes her to blink constantly, she is still a very attractive woman.",The presence of cancer cells under a microscope is an aberration that no doctor wants to see.,"If you want to buy a cheap camera, look for one that has a minor defect or aberration because you can purchase cameras of this sort at discounted prices.",I knew there was a logical reason to explain the aberration in the treasury account.,Walking to work instead of driving is a huge aberration for my lazy husband.,I have never seen a stranger aberration than a two-headed snake!
Abet,to encourage or support a behavior or action,The photo editing software is sure to abet my odds of winning the photo competition.,Can you believe the community has decided to abet crime by not giving the police the names of suspected gang members?,Giving the dog a treat is a way to abet his obedience.,"During the press conference, the president vowed severe consequences for any person or group who chose to abet the terrorists.",Many states have passed repeat offender laws to show criminals they do not abet repeated cases of the same offense.,"To abet continued gaming, most casinos provide guests with frequent player rewards.","The grandmother was arrested for trying to abet her grandson, a prison escapee.",Isn’t it rather ironic that a doctor would go out of his way to abet a suicide?,"Although Carol claims to support Jay’s filmmaking efforts, she has done nothing to abet his goals.","If you abet violence in your home, you should not be surprised if your children grow up to be abusers."
Abeyance,a state of temporary disuse or suspension,"Immediately following the terrorist attack, pilots had to observe a period of abeyance where they could not depart from the airport.","Once the famine was over, the food rationing dictated by the government was put in abeyance.","Until after the murder trial, the inheritance will be placed in abeyance.",Trading on the stock market has temporarily been put in abeyance while the trade commission investigates financial misdeeds.,Jane’s cancer has returned after being in abeyance for nearly two years.,"Due to budget cuts, employer contributions to retirement accounts are being put in abeyance.","Because of Justin’s helpful testimony, the judge agreed to an abeyance of his sentence.","Near the end of the legislative session, the congressmen put several topics of discussion on abeyance until the next meeting.","Since the divorcing couple was unable to agree on a financial settlement, the judge placed the case in abeyance until an agreement could be reached.",The vote is to be held in abeyance until all committee members are present.
Abhor,to reject something very strongly; hate,I abhor liars.,"We abhor violence against others and respect everyone, regardless of a person's race, color and creed.","Work at a job that you love, not one that you abhor.",She would abhor the thought of writing a 40-page research paper.,"If you abhor mathematics so much, why not switch majors?",Sitting in the waiting room for 2 hours is something I abhor with a passion.,Remember to sign the petition against tax increases if you abhor getting more money docked from your paycheck!,Michelle would abhor being the bearer of most jokes.,"You abhor the dentist, but you love the doctor?",Taking out the trash is a chore many kids abhor.
Abhorrence,a strong feeling of hate paired with a feeling of loathing,My abhorrence of racism makes me avoid people with racist attitudes.,"As a pacifist, I have a strong abhorrence of violence.",The deceitful cult leader talked about the need for an abhorrence of wealth while stealing money from his followers.,"Because Heather is a spoiled heiress, she looks upon homeless people with abhorrence.",The religious man’s abhorrence of war led him to choose prison over military service.,,,,,
Abhorrent,causing or deserving strong dislike or hatred,"As I looked around the filthy apartment, I had to wonder who could live in such abhorrent conditions.",Jack’s abhorrent behavior caused him to get kicked out of the restaurant.,"Because I find violence abhorrent, I rarely watch action movies.",The idea of being stuck in an office all day is abhorrent to a nature lover like myself.,"When the citizens learned about the abhorrent crime, they screamed for justice outside the police station.",The soldier’s abhorrent conduct earned him a dishonorable discharge from the army.,"To most Christians, the idea of having an abortion is an abhorrent one.",The insects flew away from the bushes after smelling the abhorrent odor of the chemicals.,"As Mark is very concerned about his health, he looks upon smoking as an abhorrent habit.",Sally divorced her husband after he began to treat her in an abhorrent manner.
Abide ,tolerate an unpleasant thing or person; endure,I find it difficult to abide the narrow-minded attitude of a prejudiced person.,"Although my daughter hates the school dress code, she knows she must abide by it.",The students must abide by the classroom rules or else suffer the consequences.,"Because Jack had a migraine, he was not sure he could abide the talkative old man during the twelve-hour flight.",,,,,,
Ability,the skill or capability to do something,The Flash has the ability to run faster than the speed of light.,"Even though my ability to cook is lacking, I can make a good pot of spaghetti.",The convincing con-man had the ability to sell water to a drowning man.,"I really wanted to play basketball in high school, but my physical abilities were subpar.","Known for her amazing singing ability, Mariah Carey can hit a high note like no other.",,,,,
Abiotic,abiotic means something that is sterile; not from living organisms,"Unlike alive biotic organisms, abiotic factors are nonliving.",The absence of life indicates that something is abiotic in nature.,"Plant and animal life is biotic because it’s living, but wind and temperature are abiotic.","Abiotic parts of an ecosystem include sunlight, rain, and pollution because they are nonliving.",Abiotic components are nonliving inanimate factors in the environment such as altitude.,,,,,
Abject,cast down in spirit or hope,"After his wife died, he was an abject man.",Janice was in such an abject state that she tried to kill herself.,"While I am feeling a little sad at the moment, I do not plan on being abject for much longer.","When Mark lost his job, he was abject for weeks and would not leave his house.",The football player was abject after being cut from the team.,"Because Miranda has an abject personality, she rarely smiles.","Although Gerald felt abject at his birthday party, he pretended to have a good time to please his friends.","Abject and lost, Monica did not know what to do when her husband left her for another woman.","After losing the championship game, the team was in an abject mood.",
Abjure,to give up a belief or an activity,"After the tyrant took over the country, the citizens had to abjure their political beliefs.","In order to marry the peasant he loved, the prince made the decision to abjure his title.","Because John ignored his parents’ plea to abjure a life of crime, he ended up in prison by making bad choices.","Although chocolate cake is Martha’s favorite dessert, she has chosen to abjure it while on her diet.","Because the lawyer felt his potential client was uncooperative, he decided to abjure the case and let another attorney handle it.","Even though Tom made a promise to abjure from criminal acts, he continued to break the law.","While the military leader claimed to abjure unnecessary violence, he was quick to send his soldiers off to battle.","Because the heiress does not care about money, she will abjure her inheritance and request that it be donated to charity.",We could not believe it when Father Lawrence made the choice to abjure his faith and leave the church.,"As part of my religious faith, I abjure meat and only eat vegetables and fruits."
Ablaze,burning fiercely; in a blaze; on fire,The cops threw Jack to the ground and arrested him after he set the American flag ablaze.,"Before fleeing, the bandit set the home ablaze so that any possible evidence would be obliterated.","Eyes ablaze, the man with the black hat reached for his revolver and aimed it at Bob’s head.","After shooting the captive in the head, the terrorist doused Chris’s body with gasoline and set it ablaze.","The plane slammed into a house just passed the runway, setting it ablaze.",,,,,
Able-bodied,physically strong and healthy,"If you are not injured or sick, you can generally be considered an able-bodied individual capable of physical exertion.",The pastor is looking for any able-bodied young men to help him set up the chairs for the church service in the morning.,"Construction workers must be able-bodied individuals, as their labor requires them to constantly move heavy materials and greatly exert themselves.","My father used to be an able-bodied individual, but by now his age has rendered him both feeble and nearly immobile.","My father used to be an able-bodied individual, but by now his age has rendered him both feeble and nearly immobile.",,,,,
Able,having the capability of doing something,"Being a healthy young man, I am perfectly able to engage in manual labor, no matter what kind of physical stress that includes.","Many people would not think it, but the Grizzly Bear is able to run thirty-five miles an hour, which is over a dozen miles an hour faster than the average human.","Thanks to computers, we are able to calculate millions of equations and problems in a relatively short window of time.","Someone with quicker reflexes than I may have been able to intercept the baseball before it hit the ground, but unfortunately the only person available at the time was me.","I was looking for someone that would be able to print some copies of the worksheet for me, but in the end I just had to pick someone at random and hope they were trustworthy.",,,,,
Ablution,the act of washing or cleansing,"Sylvia has a rare condition that makes her break out in a rash if she gets water on her skin, so her morning ablution consists of using cleansing cream and tissue.",Some religions require believers to perform an ablution before prayer so that they are clean and worthy in the presence of their God.,"Although the injury wasn’t severe, the nurse brought in sterile water for the doctor to perform an ablution so that it would be less likely to become infected.","Once I have my cup of coffee and do my morning ablution, including brushing and flossing, I’m ready to start my day.","Because each daughter’s daily ablution seems to take forever, mornings in a house with four teenage girls and one bathroom are unbearable.","Jerry explained to his friends that his parents had taught him to perform an ablution before he ate a meal or snack, but it had nothing to do with religion.","In a ritual act of ablution before prayer, Rashad meditated while he washed his face, hands, upper forehead, and the tops of his feet.","Since the cast made it impossible for Denise to shower or bathe in a tub, the doctor instructed to carry out her ablution in the form of a sponge bath.",Dedicated practitioners of yoga swear by a bedtime ablution ritual to relax the body and encourage deeper sleep.,"Since doctors are required to perform an ablution before they examine each patient, dry, chapped hands are an occupational hazard."
Abnegation,the act of rejecting or refusing something ,Her abnegation of ice cream and cookies is due to her Olympic team training.,"Because everyone knew Jane loved serving the public, they were shocked by her abnegation of the congressional seat.",The school counselor hoped she could encourage her students to consider the abnegation of drug use.,"When Mark decided to protest chemical dumping, he used the abnegation of food and water as his method of protest.",Frank’s abnegation of responsibility for his son’s behavior angered the judge.,"After growing up in a very religious household, Cara knew a great deal about the abnegation of materialistic items.",Everyone expected the government’s abnegation of responsibility for the long war.,"If you wish to be a monk, you must not have a problem with the abnegation of worldly possessions.",The priest's abnegation of his faith was a shock to everyone in the community.,"When the atheist was questioned about his beliefs, he was quick to tell others about his abnegation of Christ."
Abnormal,out of the ordinary; unusual,William worried that his abnormal bleeding was a symptom of cancer.,Bill’s abnormal behavior convinced Jenna to stop dating him.,It was abnormal that the student could not sit through the lecture.,The abnormal winds forced us to pull off of the road.,Jerry’s abnormal reaction demonstrated that he was under a lot of stress.,,,,,
Abnormality,a feature that is not normal or average,"Albinism is an abnormality in the pigmentation of one’s body, making them so pale as to appear white.","These trees usually only grow about forty feet tall, so this sixty five foot tree is an abnormality by comparison.","While there’s nothing wrong with being tall, by human standards it can be considered an abnormality to be taller than six feet.","The doctors were especially worried about the abnormality they found in the patient’s chest wall, some sort of unidentified mass that they couldn’t determine the nature of.","Considering the dominant physical traits in Scandinavia, someone who doesn’t have blonde hair and blue eyes would be an abnormality.",,,,,
Aboard,"on board, into or within a ship or boat",The stewardess welcomed everyone aboard and asked us to pay attention to what she had to say.,“All aboard’ cried the conductor as the train made loud clanging noises and began to churn out clouds of steam.,"While we were aboard the ship, a fight broke out among the sailors and one man was tossed overboard.","Considering the amount of equipment that was stored aboard our small boat, it was a miracle that it did not sink.","Once I was safely aboard the bus, I sat down in my seat and heaved a sigh of relief that I had made it in time for departure.",,,,,
Abode ,the place where one resides or lives,The fraternity’s abode was the messiest house on campus.,"Before you enter Mr. Chow’s abode, he insists you remove your shoes so you will not stain his carpets.","Lacking a physical abode, the homeless man slept in the park.","Since I am a poor college student, my abode is sparsely furnished with a futon and a single folding chair.","On the camping trip, a tent will be our abode and protect us from the elements.",,,,,
Abolish,to put an end to,The Supreme Court believed it was time to abolish the outdated amendment.,The politician filibustered to abolish the unjust law.,Many historians point out that Abraham Lincoln did not abolish slavery out of compassion but rather as a political move.,His forward-thinking stance was instrumental in helping to abolish slavery.,"He hoped to abolish all ties between the church and the state, making it impossible to build laws around individual moral beliefs.",There are still places around the world where they need to abolish slavery.,This new treaty would effective abolish old trade routes to establish new ones.,The dictator hoped to abolish any education that contradicted his philosophy.,"In light of illegal activities, they were forced to abolish their business.",She would not allow them to abolish such a fine institution.
Abolition,the action of putting an end to something,The abolition of smoking in restaurants is a blessing to people like myself who suffer from allergies and asthma.,"Because the Northern states supported the abolition of slavery, many slaves fled to the North in search of freedom.",The racist political candidate supports the abolition of visas to citizens with Muslim backgrounds.,"As a student, I most definitely favor the abolition of the twelve-month school year.",People who support the abolition of the death sentence will be protesting outside the prison tomorrow.,,,,,
Abolitionist,one who supports the elimination of practices or laws that are viewed as dangerous,The abolitionist is recruiting like-minded people who share her opposition to the pro-abortion laws.,"Before the war split the nation in the 1800s, one of my ancestors was an abolitionist who gave his life to save runaway slaves.",My professor is an abolitionist who travels throughout the world speaking out against human rights violations.,"Because the abolitionist is opposed to capital punishment, she frequently protests outside of legislative buildings.","Except for the lone abolitionist, everyone in the town supported slavery.",,,,,
Abominable,horrible; terrible,Last year’s record final record was abominable and we finished the season with no wings.,Colonists protested the abominable tax laws that were keeping them poor and in debt.,"Even though he thought Tim’s treatment of his wife was abominable, he didn’t feel it was right to confront him about the abuse.","The weather during our beach vacation was abominable, but we tried to have fun even in the midst of a horrible storm.","Because so many people felt slavery was abominable, the president began gaining support for the ending of this terrible practice.",,,,,
Abominate,to despise intensely,"Since I abominate liver, I will starve to death before I eat it.",My dogs abominate cold weather so I have to force them outside when the temperature goes below fifty degrees.,"If you abominate something, you really hate it.","As a diehard golf fan, Josh is unwilling to date anyone who claims to abominate the sport.",,,,,,
Abomination,something that is hated,The marketing team thought the new ad to be an abomination and worked hard to come up with one they didn’t hate.,"People outside of the temple did things that the Lord hated, one woman making herself an abomination in his sight.",Lying is an abomination in my house since my parents hate anyone who doesn’t tell the truth.,The politician saw the other party as an abomination and despised the group with all of his heart.,"Though she tried to like Halloween, Heather saw it as an abomination and despised all October 31st festivities.",,,,,
Aboriginal,associated with being part of the original population; native,The Indian tribe’s aboriginal dialect has been replaced by the English language.,"In the documentary, we will learn about some of the tribal customs of the island's aboriginal people.",The archaeologist found several aboriginal artifacts at the dig site of the ancient city.,"When studying different cultures, we tend to rush through the aboriginal traditions so we can focus on modern customs.",The Murabi aboriginal tribe is the last of the native societies on the continent.,,,,,
Abort,to stop something from happening any longer; to discontinue,The law allows women to abort an early-stage pregnancy.,The captain instructed them to abort the mission.,"If a small bird makes a dent in a plane in flight, the pilot may abort the flight and bring the aircraft back for inspection.",Abort the process running on my computer.,"If we’re intercepted before we get to our target, we simply abort.",,,,,
Abortive ,an unproductive attempt,"When the rebels’ plan to take over the castle proved abortive, they were caught and executed.",The surgery was abortive and did not repair the damage to the man’s heart.,"Because of the stormy weather, the explorer’s trip to Antarctica was abortive.",The plan to build a bridge to link the two islands became abortive when the two governments refused to share the project cost.,"Although I watched the baking show repeatedly, my effort to make the same cake as the master chef proved abortive.",,,,,
Abound,available in large quantity or number,"At the beginning of the school year, computer deals abound on the Internet.",Walking trails abound in the beautiful park in the middle of the city.,"During spring break, bikini-clad girls abound on the beaches.",Local beers abound in the neighborhood pub that is rumored to have some of the best beverages in the world.,"While recreational activities abound at the resort, I am unfortunately sidelined with a broken ankle.","In the celebrity crowd, it seems as though drunk driving incidents abound as food for tabloid journalists.",Tales abound of crooked contractors who steal money from trusting senior citizens.,"In our small town, mysteries abound about the haunted house that sits on the hill.","Inside of the luxury apartment complex, tennis courts and swimming pools abound.","Since I love to try new foods, I hope food vendors will abound at the arts festival."
Above,overhead or directly over the head,"As the children heard the airplane, they looked above to see the big Boeing 747 flying within inches of the treetops.",Changing a lightbulb above your head may be difficult if the light is close to the tall ceilings.,Karen had to stretch onto her tippy toes in order to reach above the top shelf to get ahold of a vase.,The shortest basketball player had to reach above his head with the ball in order to do a layup.,"Since the man forgot his house key, he had to reach above the doorway for the extra key to unlock the front door.",,,,,
Above,at a higher layer or level than something else,"If you look above you while outside, you will almost certainly spot clouds, the sun, or the moon, though in some cases you might not see them at all.","In the army, the rank of General is above the rank of Colonel, though Colonel is still above Major and Lieutenant.","Resting at the top of our oak tree in the yard, all of my friends had no idea that I was hiding above them during our whole game of hide and seek.","Birds are almost always soaring around above us, witnessing the world from an entirely different perspective from what we are used to.","The higher you are above sea level, the thinner the air is and the harder it is to get sufficient air into your lungs to function.",,,,,
Abraded,"to produce damage or irritation by scraping, rubbing, or crushing",The wool blanket abraded my legs and gave me a rash.,"When my husband saw how his facial hair abraded my skin, he decided it was time to shave.",The uncomfortable shoe strap abraded my heel and created a sore.,"Because the pencil was held so tightly against my finger, it abraded my skin and left a red mark.",We can’t use the plank because my father accidentally abraded it during the sanding process.,,,,,
Abrasion,a spot or area that has been scraped or harshly rubbed,"When the little boy fell off his bike, his only injury was a small abrasion on his right leg.",The abrasion on Jim’s face is from a car accident.,"To prevent infection, I will put antiseptic cream on the abrasion.",Some of the debris from the explosion flew into Janet’s left eye and caused a corneal abrasion.,"Because Andrew did not properly treat the abrasion, an unattractive scar formed on his hand.",,,,,
Abrasive,unlikeable; nasty,"Because of Kurt’s abrasive personality, most people try to avoid him at work.",The clerk was so abrasive to me I walked out the store without making a purchase.,"After speaking with the abrasive doctor, I decided to look for a friendlier physician.",The player was fined for using abrasive language during the game.,"If you use an abrasive tone with the flight attendant, you might get kicked off the airplane.",,,,,
Abreast,remaining up to date on a topic,"To stay relevant in the field of computer programming, Kurt must stay abreast of the latest programming languages.",My teacher gives extra credit to students who stay abreast of world issues by sharing newspaper articles with the class.,"Before the big match, the team will stay abreast of its opponent's scoring strategies by watching game tapes.",I often go online to keep abreast of what my favorite celebrities are doing.,"In order to gain new skills, you should stay abreast of training workshops offered by the company.",,,,,
Abridge,to make shorter,His agent told him that he needed to abridge some of the content of his novel so that it would be under 400 pages.,"Scott and Hillary agreed to abridge their story, leaving out some of the more frightening details so that their parents wouldn’t be worried about them.","When immigrants enter the county through illegal means, they find that the people in charge not only abridge their basic human rights, but they completely remove them.",Editors of some classic literature seem to take a lot of liberties when they abridge the content so that people with lower reading levels can understand what they’re reading.,Victor has his secretary go through each day’s mail so that she can abridge it into a manageable task by separating everything that can be handled by someone else.,Mr. Gibson asked me to abridge my report to the committee so that there would be time for questions.,"If you abridge your testimony to include only the most important details, I think the jury will be more sympathetic to your case.","Even though the translation of the material is complete, you still need to abridge the amount of information so that it doesn’t overwhelm the students.","Despite Jerry’s efforts to abridge the amount of time he spends at the office, his friends always know where to find him when he’s not at home.","In writing a shorter edition of the history textbook, he was required to abridge some of the chapters on the presidents."
Abroad,in foreign countries,His plan is to get a degree in economics and then work abroad for a year.,,,,,,,,,
Abrogate,to abolish; to do away with,You cannot abrogate anyone's right to free speech!,"With thunderstorms rolling in this afternoon, we may abrogate today's outdoor protest.",A good father would never abrogate his parental responsibilities.,Our city needs to abrogate outdated laws.,"If you talk out loud in class, I will abrogate your right to choose where to sit.","While the United States abolished slavery back in 1865, some countries have yet to abrogate it.",More cities are beginning to abrogate smoking in public places because of second-hand smoke hazards.,Animal lovers are protesting to abrogate the use of animals in science.,"Because we have a signed contract, you cannot abrogate your end of the agreement.","As a police officer, I cannot abrogate my legal duty to enforce the law."
Abrupt,without notice; sudden,The bus came to an abrupt halt outside the school.,Our conversation came to an abrupt end when George burst into the room.,The accident brought his career to an abrupt end.,Artie knocked me off-balance with his abrupt change of subject.,Rosie's idyllic world came to an abrupt end when her parents' marriage broke up.,,,,,
Abruption,a sudden breaking away,"During Tara’s pregnancy, placental abruption occurred when the placenta pulled away from the uterine wall.",Abruption of the iceberg caused a huge chunk to drift away from the rest of the icy mass.,The nursing students studying abruption looked at the separated section of the organ on the ultrasound.,,,,,,,
Abruptly ,suddenly; without notice,"Without warning, my boss abruptly fired me.",The football player’s contract was abruptly cancelled after his team learned about his drunk driving incident.,"Before I could move my car out of the driveway, the tree fell abruptly and crushed the vehicle.",Janice was devastated when her husband abruptly announced their marriage was over.,"Although the schedule changed abruptly, my team was successfully able to allocate resources to meet the time crunch.",,,,,
Abscess,cavity filled with pus,A tame rabbit was brought in with a large abscess about the size of an egg on its cheek.,,,,,,,,,
Abscission,the natural shedding of parts of a plant,"Abscission of leaves occurs during autumn, before winter sets in.","The process of leaf abscission makes Wendy depressed, as if the tree was becoming deprived of its young.","In zoology, abscission is the shedding of a body part, such as the claw or husk.","Abscission of a leaf occurs at the base of the petiole, allowing the entire leaf to shed.","Because of abscission, leaves, flowers and fruit can discard non-functional or infected organs.",,,,,
Abscond,escape into hiding; to leave quickly and hide to avoid punishment,Do you think he has plans to abscond with the stolen money?,"Since the boys could not pay for their meals, they decided to abscond before the waitress returned with their check.",The greedy accountant was caught at the airport before he could abscond with the company’s profits.,"In order to avoid prosecution, Marilyn decided to abscond to Switzerland.","Because she was driving without a license, Elaine chose to abscond while the officer ran her car tag.",The robbers’ plan was to abscond with all of the millionaire’s valuable paintings and jewels.,"After kidnapping the heiress, the kidnapper’s sole option was to abscond to another country before the authorities could find him.","Unable to pay their rent, the tenants decided to abscond in the middle of the night.","If the judge feels a suspect is likely to abscond, he will issue a high bond for that individual.","After being left out of his mother’s will, David decided to abscond with many family heirlooms."
